om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
491143,2014,02,23,2014-02-23,13:10:00,3,FL,12,0,1.0,0,0,0.0,0.0,29.32,-82.52,29.32,-82.52,0,0,0,0,0,75,0,0,0
491844,2014,02,23,2014-02-23,13:30:00,3,FL,12,0,1.75,0,0,0.0,0.0,29.3,-81.37,29.3,-81.37,0,0,0,0,0,35,0,0,0
491845,2014,02,23,2014-02-23,13:45:00,3,FL,12,0,1.0,0,0,0.0,0.0,29.34,-81.31,29.34,-81.31,0,0,0,0,0,35,0,0,0
493107,2014,02,23,2014-02-23,15:15:00,3,FL,12,0,1.0,0,0,0.0,0.0,28.8,-81.303,28.8,-81.303,0,0,0,0,0,117,0,0,0
501881,2014,02,25,2014-02-25,13:50:00,3,LA,22,0,0.75,0,0,0.0,0.0,30.47,-91.17,30.47,-91.17,0,0,0,0,0,33,0,0,0
501882,2014,02,25,2014-02-25,14:16:00,3,LA,22,0,0.75,0,0,0.0,0.0,30.3896,-91.0073,30.3896,-91.0073,0,0,0,0,0,33,0,0,0
504519,2014,02,25,2014-02-25,23:40:00,3,AL,1,0,0.88,0,0,0.0,0.0,31.78,-87.73,31.78,-87.73,0,0,0,0,0,25,0,0,0
504158,2014,03,01,2014-03-01,05:20:00,3,CA,6,0,1.5,0,0,0.0,0.0,34.0263,-117.874,34.0146,-117.88,0,0,0,0,0,37,0,0,0
494094,2014,03,01,2014-03-01,17:20:00,3,AZ,4,0,0.88,0,0,0.0,0.0,33.75,-111.95,33.75,-111.95,0,0,0,0,0,13,0,0,0
494354,2014,03,01,2014-03-01,17:30:00,3,AZ,4,0,0.88,0,0,0.025,0.0,33.74,-111.85,33.74,-111.85,0,0,0,0,0,13,0,0,0
494664,2014,03,02,2014-03-02,10:05:00,3,MO,29,0,0.75,0,0,0.0,0.0,36.59,-92.82,36.59,-92.82,0,0,0,0,0,213,0,0,0
506385,2014,03,02,2014-03-02,14:30:00,3,TX,48,0,0.88,0,0,0.0,0.0,32.14,-96.47,32.14,-96.47,0,0,0,0,0,349,0,0,0
502654,2014,03,03,2014-03-03,21:00:00,3,TX,48,0,0.75,0,0,0.0,0.0,29.85,-98.69,29.85,-98.69,0,0,0,0,0,259,0,0,0
508364,2014,03,03,2014-03-03,22:05:00,3,TX,48,0,0.75,0,0,0.0,0.0,29.7086,-95.6875,29.7086,-95.6875,0,0,0,0,0,201,0,0,0
506917,2014,03,11,2014-03-11,19:05:00,3,KS,20,0,0.75,0,0,0.0,0.0,39.0147,-94.6901,39.0147,-94.6901,0,0,0,0,0,91,0,0,0
505342,2014,03,12,2014-03-12,19:55:00,3,NC,37,0,0.75,0,0,0.0,0.0,35.78,-80.9,35.78,-80.9,0,0,0,0,0,97,0,0,0
508039,2014,03,15,2014-03-15,15:07:00,3,TX,48,0,1.0,0,0,0.0,0.0,32.43,-99.76,32.43,-99.76,0,0,0,0,0,441,0,0,0
508040,2014,03,15,2014-03-15,15:07:00,3,TX,48,0,0.88,0,0,0.0,0.0,32.45,-99.73,32.45,-99.73,0,0,0,0,0,441,0,0,0
508041,2014,03,15,2014-03-15,15:33:00,3,TX,48,0,1.5,0,0,0.0,0.0,32.06,-99.68,32.06,-99.68,0,0,0,0,0,83,0,0,0
508044,2014,03,15,2014-03-15,15:50:00,3,TX,48,0,0.75,0,0,0.0,0.0,32.03,-99.46,32.03,-99.46,0,0,0,0,0,83,0,0,0
508045,2014,03,15,2014-03-15,15:58:00,3,TX,48,0,1.75,0,0,0.0,0.0,32.03,-99.46,32.03,-99.46,0,0,0,0,0,83,0,0,0
508046,2014,03,15,2014-03-15,16:02:00,3,TX,48,0,1.0,0,0,0.0,0.0,32.4,-99.31,32.4,-99.31,0,0,0,0,0,59,0,0,0
508047,2014,03,15,2014-03-15,16:30:00,3,TX,48,0,1.75,0,0,0.0,0.0,32.05,-99.2,32.05,-99.2,0,0,0,0,0,83,0,0,0
508048,2014,03,15,2014-03-15,16:36:00,3,TX,48,0,1.75,0,0,0.0,0.0,32.03,-99.13,32.03,-99.13,0,0,0,0,0,49,0,0,0
508049,2014,03,15,2014-03-15,17:01:00,3,TX,48,0,2.0,0,0,0.0,0.0,31.98,-98.9,31.98,-98.9,0,0,0,0,0,49,0,0,0
506118,2014,03,15,2014-03-15,17:20:00,3,TX,48,0,1.75,0,0,0.008,0.0,31.95,-98.73,31.95,-98.73,0,0,0,0,0,93,0,0,0
